"X1";"name";"recipe"
49;"Pieczony dorsz z ziemniakami";"1. Paprykę umyj i pokrój w kostkę.
2. Marchew, cukinię i ziemniaki obierz i pokrój w plastry.
3. Rybę umyj i osusz ręcznikiem papierowym. 
4. Przełóż rybę do naczynia żaroodpornego, przypraw solą i pieprzem.
5. Na rybie ułóż plastry cytryny i pokrojone warzywa, całość posyp koperkiem. 
6. Piecz około 15-20 minut w piekarniku rozgrzanym do 180°C .
7. Przed podaniem skrop oliwą."
50;"Kanapki";"1. Posmaruj pieczywo pastą."
51;"Pasta z awokado";"1. Jaja ugotuj na twardo.
2. Wszystkie składniki, oprócz ogórka zblenduj.
3. Ogórka pokrój w drobną kostkę, dodaj do pasty i wymieszaj."
52;"Bananowe placuszki";"1. Olej rozgrzej na patelni.
2. Pozostałe składniki zblenduj.
3. Formuj łyżką placuszki i smaż z obu stron do zarumienienia."
53;"Jogurt kokosowy";"1. Wymieszaj jogurt z miodem i wiórkami."
54;"Wytrawne placuszki z marchewką";"1. Wymieszaj jajka z mlekiem, mąką, startą marchewką, cebulą i przyprawami.
2. Rozpuść olej na patelni, nakładaj masę łyżką, formuj palcuszki i smaż z obu stron."
55;"Banan w czekoladzie z bakaliami";"1. Czekoladę podgrzej i rozpuść z dodatkiem chilli.
2. Banana pokrój w plasterki i przełóż do miseczki.
3. Banana polej rozpuszczoną czekoladą i posyp migdałami, wiórkami i pestkami dyni."
56;"Zapiekanka z krewetkami i warzywami";"1. Rozgrzej piekarnik do 180 °C.
2. Krewetki umyj i oczyść.
3. Pokrój cukinię w talarki, dynię w kostkę, cebulę w piórka, a pomidorki przekrój na pół.
4. Naczynie żaroodporne wysmaruj masłem i ułóż na dnie pokrojone warzywa, a na nich krewetki.
5. Wymieszaj w miseczce jajko, mąkę, mleczko kokosowe, przeciśnięty przez praskę czosnek, sól i pieprz.
6. Wylej masę na krewetki i warzywa. Całość posyp płatkami drożdżowymi.
7. Piecz przez ok. 30 minut.
8. Na koniec zapiekankę posyp posiekaną kolendrą i chilli."
57;"Kanapka z dipem ogórkowym";"1. Ogórka zetrzyj na tarce, wymieszaj z jogurtem, posiekanym koperkiem, solą i pieprzem.
2. Nałóż dip na pieczywo."
58;"Makaron z papryką i szpinakiem";"1. Makaron ugotuj według przepisu na opakowaniu.
2. Paprykę pokrój w cienkie paski i wrzuć ze szpinakiem na rozgrzany olej.
3. Podsmaż przez kilka minut, następnie dodaj sos sojowy, syrop z daktyli i przyprawy.
4. Gotowy makaron wymieszaj z warzywami. Podawaj z posiekaną pietruszką i sezamem."
59;"Kanapki z szynką";"1. Pieczywo skrop oliwą, nałóż plastry szynki, ogórka i połówki pomidorków, oprósz oregano."
60;"Koktajl bananowo-truskawkowy";"1. Zblenduj składniki z dodatkiem mleka kokosowego."
61;"Orzechy";NA
62;"Kasza z pieczarkami";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Pokrój pieczarki w plastry, paprykę i cebulę w kostkę.
3. Olej rozpuść na patelni, dodaj warzywa i smaż kilka minut.
4. Dodaj przyprawy i wymieszaj.
5. Połącz warzywa z kaszą."
63;"Jaglanka z mango i żurawiną";"1. Ugotuj płatki na mleku z dodatkiem startej marchewki i żurawiny. Jeśli będzie potrzeba, dolej wody.
2. Wymieszaj z cynamonem i imbirem.
3. Udekoruj pokrojonym w kostkę mango i orzechami."
64;"Smoothie z mango";"1. Zblenduj składniki z dodatkiem wody kokosowej."
65;"Indyk w sosie pieczarkowym";"1. Mięso pokrój w kostkę, przypraw solą i pieprzem.
2. Pokrój cebulę i pieczarki w kostkę i podsmaż na rozgrzanym oleju.
3. Dodaj mięso, lubczyk i sos sojowy. Duś kilka minut.
4. Wlej mleczko kokosowe i całosć duś jeszcze przez chwilę."
66;"Puree z dyni";"1. Dynię i ziemniaka pokrój w kostkę, ugotuj w niewielkiej ilości wody i odcedź.
2. Dodaj masło, sól i pieprz, uduś tłuczkiem na puree.
3. Udekoruj świeżym rozmarynem."
67;"Jogurt z pestkami";"1. Przełóż jogurt do miseczki, wymieszaj z syropem z daktyli i pestkami."
68;"Łosoś na parze z brokułem";"1. Łososia skrop sokiem z cytryny, przypraw solą, pieprzem, kurkumą i ziołami.
2. Brokuł podziel na różyczki.
3. Łososia i brokuła ugotuj na parze. Gotowe skrop oliwą."
69;"Bezglutenowe placki jaglane";"1. Kaszę ugotuj według przepisu na opakowaniu
2. Wszystkie składniki zblenduj, oprócz oleju kokosowego.
3. Olej rozgrzej na patelni i smaż placki z dwóch stron."
70;"Shake rafaello";"1. Składniki zblenduj z dodatkiem mleka roślinnego.
2. Do napoju możesz dodać odrobinę wody."
71;"Burgery z indyka";"1. Mięso zmiel maszynką.
2. Dodaj jajo, paprykę pokrojoną w drobną kostkę, posiekany szczypiorek, startego ogórka i wymieszaj.
3. Uformuj burgery i piecz w piekarniku w naczyniu żaroodpornym pod przykryciem w 180°C przez około 30 minut.
4. Burgery podaj z sałatką."
72;"Sałatka";"1. Pomidorki pokrój na połówki, ogórka w plastry, a cebulę w piórka.
2. Wymieszaj w misce wszystkie warzywa, posyp słonecznikiem i polej dressingiem."
73;"Dressing";"1. Wymieszaj dokładnie wszystkie składniki.
2. Polej dressingiem sałatkę."
74;"Woda mojito";"1. Wodę połącz z miętą i limonką."
75;"Krem z buraków z gruszką";"1. Marchewki, pietruszkę umyj i obierz. 
2. W garnku zagotuj wodę dodaj warzywa oraz liść laurowy, kminek, tymianek i sól.
3. W osobnym garnku ugotuj buraki w mundurkach.
4. Gdy buraki będą miękkie, pokrój w kostkę i dodaj do wywaru z warzywami.
5. Dodaj pokrojone gruszki, przeciśnięty przez praskę czosnek majeranek, kurkumę, imbir oraz pieprz. 
6. Warzywa gotuj do miękkości.
7. Dodaj sok z cytryny i zblenduj na krem."
76;"Wytrawna owsianka";"1. Pokrój paprykę i szynkę w kostkę, pomidorki przekrój na pół.
2. Wymieszaj namoczone płatki z przyprawami.
3. Dodaj szynkę, warzywa i pestki dyni, wymieszaj."
77;"Koktajl bananowo-orzechowy";"1. Zblenduj składniki z dodatkiem mleka kokosowego."
78;"Naleśniki ryżowe";"1. Odlej wodę od moczenia ryżu.
2. Wsyp ryż i sól do wysokiego pojemnika, wlej świeżą wodę i zblenduj na białą rzadką masę.
3. Dodaj mąkę i wymieszaj łyżką.
4. Rozpuść olej na patelni, wylewaj masę i smaż naleśniki z dwóch stron.
5. Smaruj kremem śliwkowo-czekoladowym."
79;"Krem śliwkowo-czekoladowy";"1. Śliwki zalej wrzątkiem i odstaw na 10 minut, następnie odlej wodę.
2. Podgrzej mleko, rozpuść w nim czekoladę.
3. Dodaj namoczone śliwki i zblenduj na gładki krem."
80;"Kokosowy pudding chia";"1. Zalej daktyle wrzątkiem i odstaw na 10 minut.
2. Zblenduj daktyle z mlekiem i wiórkami.
3. Dodaj nasiona chia i całość dokładnie wymieszaj.
4. Odstaw do lodówki, aż pudding zgęstnieje.
5. Gotowy pudding udekoruj pestkami dyni."
81;"Kaczka w pomidorach";"1. Kaczkę przypraw solą, pieprzem, majerankiem i podsmaż z każdej strony na rozgrzanym tłuszczu.
2. Dodaj cebulę pokrojoną w piórka i wino. Duś, aż wino odparuje.
3. Wlej pomidory i duś jeszcze ok 15 minut, aż mięso będzie miękkie."
82;"Kanapki z pastą z awokado";"1. Zblenduj awokado ze słonecznikiem, sokiem z cytryny, solą i chilli.
2. Pieczywo posmaruj pastą, nałóż plastry ogórka."
83;"Awokado z pomidorkami";"1. Awokado pokrój w kostkę, skrop sokiem z cytryny.
2. Pomidorki pokrój na połówki lub ćwiartki.
3. Wymieszaj awokado z pomidorkami i słonecznikiem, skrop oliwą."
84;"Kasza z dynią, jarmużem i pomidorami";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Dynię obierz, pokrój w kostkę i ugotuj w niewielkiej ilości wody, następnie odcedź.
3. Pokrój drobno jarmuż i suszone pomidory i podsmaż na oleju kokosowym.
4. Dodaj ugotowaną kaszę oraz dynię i sezam. Dopraw solą i pieprzem, wymieszaj.
5. Przed podaniem dodaj pomidorki przekrojone na pół oraz posiekaną pietruszkę."
85;"Sałatka ze szpinakiem";"1. Szpinak umyj, suszone pomidory pokrój w paski.
2. Pomidory ułóż na szpinaku, dodaj pokruszone orzechy i polej octem balsamicznym."
86;"Indyk z orzechami na rukoli";"1. Mięso przypraw i usmaż na rozgrzanym oleju.
2. Wyłóż rukolę i orzechy na talerz, na wierzchu połóż usmażonego indyka."
87;"Wytrawna jaglanka";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Warzywa i suszone pomidory pokrój w drobną kostkę i podsmaż na rozgrzanym maśle. 
3. Pietruszkę, koperek i rozmaryn posiekaj.
4. Z oliwy, soku z cytryny, octu balsamicznego i pieprzu przygotuj dip.
5. Wymieszaj kaszę z warzywami i ziołami, skrop dipem i posyp kiełkami oraz sezamem."
88;"Koktajl gruszkowo-migdałowy";"1. Zblenduj wszystkie składniki."
89;"Orientalne szaszłyki z indyka";"1. Olej podgrzej do rozpuszczenia, wymieszaj ze startym imbirem, przeciśniętym przez praskę czosnkiem, kurkumą, chilli i solą.
2. Mięso pokrój w dużą kostkę i nasmaruj marynatą.
3. Nabijaj mięso na patyki do szaszłyków.
4. Piecz w piekarniku rozgrzanym do 200°C przez około 25-30 minut."
90;"Ryż z brokułami";"1. Ryż ugotuj według przepisu na opakowaniu.
2. Brokuł podziel na różyczki i ugotuj w osolonej wodzie.
3. Wymieszaj ryż z brokułami."
91;"Soczewica w pomidorowym sosie";"1. Nasiona czerwonej soczewicy ugotuj bez namaczania przez 15 do 20 minut w podwójnej ilości wody w stosunku do ilości soczewicy.
2. Cebulę i czosnek posiekaj i podsmaż na rozgrzanym oleju.
3. Pokrój filet indyka w kostkę, pieczarki w plastry, a marchewki zetrzyj na tarce o dużych oczkach. Dodaj wszystko do cebuli.
4. Wlej pomidory i duś, aż wszystko zmięknie i całość nieco zgęstnieje.
5. Dodaj odsączoną soczewicę i przyprawy. Duś jeszcze ok 10 minut.
6. Na końcu wymieszaj z posiekaną natką."
92;"Sałatka z kurczakiem i awokado";"1. Mięso przypraw solą, pieprzem, słodką papryką i oregano. Ugotuj na parze, następnie pokrój w plasterki.
2. Awokado pokrój w kostkę, skrop sokiem z cytryny, pomidorki przekrój na pół.
3. Wymieszaj wszystkie składniki, skrop oliwą."
93;"Zielony koktajl";"1. Wyciśnij sok z pomarańczy.
2. Wszystkie składniki zblenduj z dodatkiem soku i wody."
94;"Indyk w sosie brokułowym";"1. Mięso pokrój w kostkę, przypraw i podsmaż.
2. Brokuły ugotuj w wodzie i zblenduj z czosnkiem, koperkiem i przyprawami. 
3. Dodaj sos brokułowy do indyka i duś chwilę razem."
95;"Makaron";"1. Makaron ugotuj według przepisu na opakowaniu."
96;"Kanapka";"1. Na pieczywo połóż mozzarellę i pomidora, oprósz bazylią."
97;"Sałata rzymska z komosą, burakami i orzechami";"1. Buraki umyj, posyp solą, pieprzem, tymiankiem i podziel na dwie części.
2. Pierwszą z nich piecz w temperaturze 160°C przez 2 godziny, z drugiej wyciśnij sok i gotuj do powstania gęstego syropu, pod koniec dodaj oliwę.
3. Włoszczyznę wstaw do gotowania.
4. Komosę ryżową upraż na patelni i zalej wywarem warzywnym.
5. Gotuj przez około 8-10 minut na małym ogniu.
6. Cukinię pokrój w kostkę i zblanszuj.
7. Jagody ugotuj do miękkości i zmiksuj na gładki mus.
8. Komosę wymieszaj z oliwą, dodaj cukinię, dopraw solą, pieprze i sokiem z cytryny.
9. Ułóż na niej plastry buraków z buraczanym dressingiem, pokruszone orzechy, liście sałaty i polej sosem z owoców."
98;"Malinowy krem owsiany";"1. Wszystkie składniki zblenduj na gładki krem."
99;"Koktajl owocowy";"1. Owoce zblenduj z dodatkiem wody."
100;"Kotlety mielone";"1. Mięso zmiel w maszynce z cebulą, wymieszaj z przyprawami i jajem.
2. Formuj kotlety, obtaczaj we wiórkach i smaż z dwóch stron na złoty kolor na rozgrzanym oleju."
101;"Buraczki";"1. Buraki zetrzyj na tarce i skrop cytryną oraz oliwą."
102;"Kasza";"1. Kaszę ugotuj według przepisu na opakowaniu."
103;"Sałatka z komosą ryżową";"1. Komosę ugotuj według przepisu na opakowaniu.
2. Dodaj pokrojone w kostkę pomidory i liście szpinaku.
3. Dopraw solą, pieprzem, tymiankiem i skrop oliwą."
104;"Jajeczne wrapy z pieczarkami";"1. Jajka roztrzep, dodaj sól, pieprz i oregano.
2. Wylej masę jajeczną na patelnię i usmaż cienkie placki.
3. Cebulę pokrój w kostkę, pieczarki w plasterki i podsmaż.
4. Na usmażone placki nałóż farsz, dodaj posiekaną natkę pietruszki i zwiń wrapy."
105;"Budyń jaglany";"1. Kaszę z daktylami ugotuj na mleku migdałowym.
2. Dodaj mleczko kokosowe oraz kakao i zblenduj.
3. Przełóż do miseczki, udekoruj cząstkami mandarynki."
106;"Pudding z awokado i kakao";"1. Wszystkie składniki oprócz płatków migdałowych zblenduj.
2. Na dnie szklanki rozsyp posiekane migdały, nałóż krem z awokado."
107;"Łosoś w sosie jarmużowym";"1. Łososia pokrój w kostkę, przypraw i podsmaż na patelni.
2. Na osobnej patelni podsmaż czosnek z jarmużem na rozgrzanym oleju, a następnie zblenduj.
3. Wymieszaj sos z łososiem."
108;"Warzywa grillowane";"1. Warzywa przypraw i grilluj na patelni grillowej lub ruszcie."
109;"Tuńczyk grillowany";"1. Tuńczyka przypraw i grilluj."
110;"Pomidor";NA
111;"Jaglanka z korzennymi gruszkami i orzechami";"1. Kaszę jaglaną ugotuj na wodzie według przepisu na opakowaniu, w trakcie gotowania dodaj połowę masła. 
2. W międzyczasie, w drugim garnku rozpuść resztę masła i dodaj pokrojone w kostkę gruszki.
3. Dodaj do owoców miód i przyprawy, gotuj przez ok. 10-15 minut.
4. Podaj kaszę z owocami i orzechami."
112;"Smoothie z mango i kiwi";"1. Zblenduj wszystkie składniki z dodatkiem wody ."
113;"Polędwiczka wieprzowa";"1. Polędwiczkę nasmaruj olejem, natrzyj przyprawami i posiekanym czosnkiem.
2. Włóż do naczynia żaroodpornego i obłóż cebulą.
3. Piecz pod przykryciem przez ok. 30 minut w 190°C."
114;"Sałatka z brokułu i suszonych pomidorów";"1. Brokuł podziel na różyczki i ugotuj w osolonej wodzie.
2. Suszone pomidory pokrój w paseczki.
3. Wymieszaj brokuły z suszonymi pomidorami, oliwą i słonecznikiem. Dopraw solą i pieprzem."
115;"Kasza z fetą i pomidorkami";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Dodaj pokrojony ser feta i pomidorki oraz słonecznik, liście bazylii, sól i pieprz, całość delikatnie wymieszaj z ugotowaną kaszą."
116;"Omlet z marchewką";"1. Do miski wbij jajka, dodaj startą marchewkę oraz przyprawy i roztrzep całość.
2. Rozpuść tłuszcz na patelni, wlej masę i przykryj pokrywką.
3. Gdy masa się zetnie, omlet przerzuć na drugą stronę.
4. Omlet złóż na pół i wyłóż na talerz."
117;"Koktajl migdałowo-kakaowy";"1. Daktyle zalej wrzątkiem i odstaw na chwilę (najlepiej 10-20 minut).
2. Zblenduj wszystkie składniki."
118;"Grillowany łosoś w sosie z cytryny";"1. Umyj łososia i osusz.
2. Przygotuj marynatę: wymieszaj w miseczce sok z cytryny, pomarańczy, tarty imbir, przeciśnięty przez praskę czosnek, pieprz i sól.
3. Rybę zanurz w marynacie.
4. Rozgrzej piekarnik do 180 °C.
5. Rybę obłożoną wiórkami masła ułóż na blaszce, wstaw do piekarnika i piecz przez 15 minut.
6. Po wyciągnięciu polej sosem sojowym."
119;"Zielone pesto";"1. Zblenduj wszystkie składniki na gładki sos i polej upieczonego łososia."
120;"Kanapki z pastą oliwkową";"1. Zblenduj na pastę: oliwki, papryczkę, czosnek, natkę, sok z cytryny i przyprawy (możesz dodać łyżkę wody).
2. Posmaruj pastą kanapki."
121;"Placuszki z mąki kokosowej";"1. Ubij lekko jajka, dodaj mleko, mąkę oraz przyprawy i dokładnie wymieszaj. Odstaw na 5 -10 minut.
2. Rozgrzej olej na patelni, nakładaj masę łyżką, formuj małe placuszki i smaż z dwóch stron.
5. Gotowe placuszki posmaruj masłem migdałowym."
122;"Koktajl bananowo-kokosowy";"1. Składniki zblenduj z dodatkiem mleka roślinnego."
123;"Kurczak w papryce i pomidorach";"1. Mięso pokrój w kostkę i oprósz przyprawami: chili, bazylią, kurkumą i solą.
2. Posiekaj drobno cebulę i czosnek, paprykę pokrój w kostkę.
3. Podsmaż na tłuszczu pokrojone warzywa, dodaj mięso i duś 10 minut.
4. Wlej pomidory i duś aż zgęstnieje."
124;"Ryż";"1. Ugotuj ryż według przepisu na opakowaniu."
125;"Sałatka caprese";"1. Ser pokrój w plastry, pomidorki przekrój na pół.
2. Na talerzu ułóż ser i pomidorki.
3. Całość polej oliwą i oprósz bazylią."
126;"Kanapki";"1. Mięso oprósz przyprawami i usmaż na patelni bez tłuszczu.
2. Nałóż filet na pieczywo i spożywaj z papryką."
127;"Sałatka z jajkami";"1. Jajka ugotuj na twardo, następnie obierz i pokrój w plastry.
2. Ułóż szpinak i szynkę na talerzu, a na nich jajka.
3. Na wierzchu ułóż pokrojone pomidory, całość posyp pestkami dyni, ziołami i pieprzem."
128;"Owocowe smoothie";"1. Zblenduj wszystkie składniki z dodatkiem wody."
129;"Placki z kaszy jaglanej";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Wymieszaj kaszę z pozostałymi składnikami.
3. Piekarnik rozgrzej do 180°C.
4. Wyłóż blachę papierem do pieczenia i układaj na niej uformowane placuszki.
5. Piecz przez około 40 minut."
130;"Ryż z kurczakiem i orzechami";"1. Ryż ugotuj według przepisu na opakowaniu.
2. W tym czasie ugotuj kurczaka w wodzie z dodatkiem soli i pieprzu lub na parze. Następnie pokrój go w kostkę.
3. Wymieszaj ryż z kurczakiem, orzechami i posiekaną natką. Dopraw solą i pieprzem."
